token_idx,layer,experts
28,1,"[25, 51, 48, 18]"
28,2,"[43, 29, 51, 3]"
28,3,"[46, 58, 40, 11]"
28,4,"[32, 36, 9, 1]"
28,5,"[56, 16, 51, 27]"
28,6,"[4, 24, 49, 5]"
28,7,"[25, 52, 59, 13]"
28,8,"[21, 37, 52, 15]"
28,9,"[33, 3, 42, 31]"
28,10,"[52, 58, 30, 53]"
28,11,"[55, 43, 53, 13]"
28,12,"[20, 5, 24, 37]"
28,13,"[0, 41, 1, 8]"
28,14,"[46, 12, 15, 8]"
28,15,"[58, 11, 29, 44]"
28,16,"[35, 10, 42, 45]"
28,17,"[24, 46, 38, 8]"
28,18,"[45, 4, 43, 41]"
28,19,"[32, 45, 58, 52]"
28,20,"[47, 56, 26, 44]"
28,21,"[42, 50, 54, 38]"
28,22,"[59, 48, 21, 4]"
28,23,"[4, 21, 58, 5]"
29,0,"[38, 59, 49, 4]"
29,1,"[54, 52, 13, 41]"
29,2,"[37, 45, 46, 43]"
29,3,"[55, 53, 11, 58]"
29,4,"[23, 34, 48, 53]"
29,5,"[43, 47, 15, 54]"
29,6,"[38, 8, 44, 15]"
29,7,"[36, 56, 0, 42]"
29,8,"[54, 48, 2, 38]"
29,9,"[38, 40, 12, 55]"
29,10,"[18, 33, 32, 5]"
29,11,"[36, 5, 23, 21]"
29,12,"[28, 55, 8, 14]"
29,13,"[20, 48, 57, 18]"
29,14,"[23, 22, 42, 35]"
29,15,"[0, 52, 26, 49]"
29,16,"[15, 24, 44, 39]"
29,17,"[30, 10, 26, 34]"
29,18,"[13, 33, 31, 18]"
29,19,"[10, 3, 39, 45]"
29,20,"[16, 30, 20, 33]"
29,21,"[32, 37, 12, 6]"
29,22,"[57, 15, 28, 35]"
29,23,"[41, 35, 47, 57]"
30,0,"[30, 25, 19, 22]"
30,1,"[34, 41, 5, 52]"
30,2,"[6, 45, 37, 44]"
30,3,"[53, 33, 55, 32]"
30,4,"[53, 52, 35, 5]"
30,5,"[47, 14, 43, 50]"
30,6,"[2, 36, 38, 9]"
30,7,"[24, 36, 25, 57]"
30,8,"[0, 48, 54, 36]"
30,9,"[34, 38, 12, 19]"
30,10,"[43, 18, 32, 21]"
30,11,"[1, 8, 36, 18]"
30,12,"[16, 40, 1, 24]"
